Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
W610x82,0.0105,0.599,0.178,0.000565,0.0000121,0.00221,0.000219,136
W610x84,0.0106,0.596,0.226,0.000603,0.0000226,0.00232,0.000311,137.3
W610x91,0.0115,0.598,0.227,0.000657,0.0000248,0.00252,0.000342,148.95
W610x92,0.0118,0.603,0.179,0.000651,0.0000144,0.00253,0.000259,152.84
W610x101,0.013,0.603,0.228,0.000764,0.0000295,0.0029,0.000404,168.38
W610x113,0.0144,0.608,0.228,0.000875,0.0000343,0.00329,0.000469,186.52
W610x125,0.0159,0.612,0.229,0.000985,0.0000393,0.00367,0.000535,205.94
W610x140,0.0179,0.617,0.23,0.00112,0.0000451,0.00415,0.000613,231.85
W610x153,0.0196,0.623,0.229,0.00125,0.00005,0.0046,0.000682,253.87
W610x155,0.0197,0.611,0.324,0.00129,0.000108,0.00473,0.00102,255.16
W610x174,0.0222,0.616,0.325,0.00147,0.000124,0.00536,0.00117,287.55
W610x195,0.0249,0.622,0.327,0.00168,0.000142,0.00607,0.00134,322.52
W610x217,0.0278,0.628,0.328,0.00191,0.000163,0.00685,0.00153,360.08
W610x241,0.0308,0.635,0.329,0.00215,0.000184,0.00767,0.00173,398.94
W610x262,0.0333,0.641,0.327,0.00236,0.000198,0.00835,0.00187,431.32
W610x285,0.0363,0.647,0.329,0.00261,0.000221,0.00917,0.00207,470.18
W610x307,0.0391,0.653,0.33,0.00284,0.00024,0.00993,0.00224,506.44
W610x341,0.0434,0.661,0.333,0.00318,0.000271,0.0111,0.00252,562.14
W610x372,0.0474,0.669,0.335,0.00353,0.000302,0.0122,0.0028,613.95
W610x415,0.0529,0.679,0.338,0.004,0.000343,0.0137,0.00316,685.19
W610x455,0.0579,0.689,0.34,0.00444,0.000381,0.0151,0.0035,749.95
W610x498,0.0635,0.699,0.343,0.00495,0.000426,0.0167,0.00389,822.48
W610x551,0.0702,0.711,0.347,0.00557,0.000484,0.0186,0.00438,909.27
W690x125,0.016,0.678,0.253,0.00119,0.0000441,0.00401,0.000546,207.24
W690x140,0.0178,0.684,0.254,0.00136,0.0000517,0.00455,0.000636,230.55
W690x152,0.0194,0.688,0.254,0.00151,0.0000578,0.005,0.00071,251.28
W690x170,0.0216,0.693,0.256,0.0017,0.0000662,0.00562,0.000809,279.77
W690x192,0.0244,0.702,0.254,0.00198,0.0000764,0.00646,0.000941,316.04
W690x217,0.0279,0.695,0.355,0.00236,0.000185,0.00761,0.00161,361.37
W690x240,0.0307,0.701,0.356,0.00263,0.000206,0.00843,0.00179,397.64
W690x265,0.0338,0.706,0.358,0.00292,0.000231,0.00933,0.00199,437.79
W690x289,0.0368,0.714,0.356,0.00326,0.000256,0.0103,0.00222,476.65
W690x323,0.0413,0.722,0.359,0.00371,0.000294,0.0117,0.00253,534.94
W690x350,0.0447,0.728,0.36,0.00403,0.000319,0.0126,0.00274,578.98
W690x384,0.049,0.736,0.362,0.00449,0.000357,0.014,0.00305,634.67
W690x419,0.0534,0.744,0.364,0.00495,0.000395,0.0153,0.00337,691.66
W690x457,0.0584,0.752,0.367,0.00547,0.000439,0.0168,0.00372,756.43
W690x500,0.0638,0.762,0.369,0.00606,0.000487,0.0185,0.00411,826.37
W690x548,0.0699,0.772,0.372,0.00673,0.000543,0.0204,0.00457,905.38
W690x802,0.102,0.826,0.387,0.0106,0.000875,0.0309,0.00715,1321.15
W760x134,0.017,0.75,0.264,0.0015,0.0000477,0.00463,0.000568,220.19
W760x147,0.0187,0.753,0.265,0.00166,0.0000529,0.0051,0.000631,242.21
W760x161,0.0204,0.758,0.266,0.00186,0.0000607,0.00566,0.00072,264.23
W760x173,0.0221,0.762,0.267,0.00206,0.0000687,0.00621,0.00081,286.25
W760x185,0.0235,0.766,0.267,0.00223,0.0000751,0.00669,0.000884,304.38
W760x196,0.0251,0.77,0.268,0.0024,0.0000817,0.00717,0.000959,325.11
W760x220,0.0281,0.779,0.266,0.00278,0.0000944,0.00819,0.00111,363.97
W760x257,0.0329,0.773,0.381,0.00343,0.00025,0.00997,0.00202,426.14
W760x284,0.0363,0.779,0.382,0.00383,0.00028,0.0111,0.00226,470.18
