Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L7X4X5/8X3/4SLBB,2L,0.0013000000000000002,0.1016,,44.2,6.489599999999999e-08,6.9888e-07,8.3968e-06,3.7392e-05,64.09
2L7X4X1/2SLBB,2L,0.0010500000000000002,0.1016,,35.8,5.408e-08,4.7424e-07,6.888e-06,2.6732e-05,51.91
2L7X4X1/2X3/8SLBB,2L,0.0010500000000000002,0.1016,,35.8,5.408e-08,5.158399999999999e-07,6.888e-06,2.8372000000000002e-05,51.91
2L7X4X1/2X3/4SLBB,2L,0.0010500000000000002,0.1016,,35.8,5.408e-08,5.5744e-07,6.888e-06,2.9848e-05,51.91
2L7X4X7/16SLBB,2L,0.0009260000000000001,0.1016,,31.4,4.825599999999999e-08,4.1433599999999993e-07,6.1008e-06,2.3287999999999998e-05,45.53
2L7X4X7/16X3/8SLBB,2L,0.0009260000000000001,0.1016,,31.4,4.825599999999999e-08,4.4927999999999996e-07,6.1008e-06,2.4599999999999998e-05,45.53
2L7X4X7/16X3/4SLBB,2L,0.0009260000000000001,0.1016,,31.4,4.825599999999999e-08,4.8672e-07,6.1008e-06,2.6076e-05,45.53
2L7X4X3/8SLBB,2L,0.0008,0.1016,,27.2,4.2016e-08,3.536e-07,5.2808e-06,1.9844e-05,39.44
2L7X4X3/8X3/8SLBB,2L,0.0008,0.1016,,27.2,4.2016e-08,3.8479999999999995e-07,5.2808e-06,2.1156e-05,39.44
2L7X4X3/8X3/4SLBB,2L,0.0008,0.1016,,27.2,4.2016e-08,4.1599999999999997e-07,5.2808e-06,2.2304e-05,39.44
2L6X4X7/8SLBB,2L,0.0016,0.1016,,54.4,8.070399999999999e-08,5.2832e-07,1.10536e-05,3.4767999999999996e-05,78.88
2L6X4X7/8X3/8SLBB,2L,0.0016,0.1016,,54.4,8.070399999999999e-08,5.823999999999999e-07,1.10536e-05,3.7064e-05,78.88
2L6X4X7/8X3/4SLBB,2L,0.0016,0.1016,,54.4,8.070399999999999e-08,6.448e-07,1.10536e-05,3.9852e-05,78.88
2L6X4X3/4SLBB,2L,0.0013900000000000002,0.1016,,47.2,7.1968e-08,4.5343999999999996e-07,9.676e-06,2.9848e-05,68.44
2L6X4X3/4X3/8SLBB,2L,0.0013900000000000002,0.1016,,47.2,7.1968e-08,4.991999999999999e-07,9.676e-06,3.1815999999999995e-05,68.44
2L6X4X3/4X3/4SLBB,2L,0.0013900000000000002,0.1016,,47.2,7.1968e-08,5.4912e-07,9.676e-06,3.3948e-05,68.44
2L6X4X5/8SLBB,2L,0.00117,0.1016,,40.0,6.239999999999999e-08,3.73568e-07,8.2492e-06,2.4599999999999998e-05,58.0
2L6X4X5/8X3/8SLBB,2L,0.00117,0.1016,,40.0,6.239999999999999e-08,4.1225599999999996e-07,8.2492e-06,2.624e-05,58.0
